ID,NO_BORNE,COTE_RUE,ID_VOIE_PUBLIQUE,NOM_TOPOGRAPHIQUE,LONGITUDE,LATITUDE
100001,4005,E,100328,1re Avenue,-71.23627057605484,46.82899800269792
100002,4006,E,100328,1re Avenue,-71.23644713311235,46.829155949820844
100003,4008,E,100328,1re Avenue,-71.23655852329632,46.829247068106824
100004,4007,E,100328,1re Avenue,-71.23654489678302,46.829237889523675
100005,4009,E,100328,1re Avenue,-71.23672671141041,46.829378547320616
100006,4010,E,100328,1re Avenue,-71.23683248309871,46.82946131687541
100008,4039,N,101734,Boulevard Cardinal-Villeneuve,-71.23594797545339,46.82894766451354
100009,4040,N,101734,Boulevard Cardinal-Villeneuve,-71.23596197916831,46.828940917149424
100010,4037,N,101734,Boulevard Cardinal-Villeneuve,-71.23580410448236,46.82901108622118
100011,4038,N,101734,Boulevard Cardinal-Villeneuve,-71.23582009803411,46.82900402920212
100012,4035,N,101734,Boulevard Cardinal-Villeneuve,-71.23567983410602,46.829067527648675
100013,4036,N,101734,Boulevard Cardinal-Villeneuve,-71.23569478167012,46.829060061287706
100014,4030,S,101734,Boulevard Cardinal-Villeneuve,-71.23596889800088,46.828783759871975
100015,4031,S,101734,Boulevard Cardinal-Villeneuve,-71.23595773222483,46.82878883140631
100016,4032,S,101734,Boulevard Cardinal-Villeneuve,-71.23584387012563,46.82883723079821
100017,4033,S,101734,Boulevard Cardinal-Villeneuve,-71.23583200388563,46.8288417625424
100018,4034,S,101734,Boulevard Cardinal-Villeneuve,-71.23571580398136,46.828893322195135
